Month,MonthNumber,Last_Update,Province_State,Confirmed,Deaths,Incident_Rate,Total_Test_Results,Case_Fatality_Ratio,Testing_Rate,,
Sept,9,9/30/2021,Texas,4058636,64851,13997.28465,32817019,1.597852086,113178.2097,,
Sept,9,9/29/2021,Texas,4043512,64456,13945.12552,32705924,1.594059817,112795.0691,,
Sept,9,9/28/2021,Texas,4029626,64192,13897.23596,32623719,1.593001435,112511.5633,,
Sept,9,9/27/2021,Texas,4018812,64074,13859.941,32563192,1.594351764,112302.8198,,
Sept,9,9/26/2021,Texas,4016181,63934,13850.8673,32433277,1.591910325,111854.7734,,
Sept,9,9/25/2021,Texas,4008699,63656,13825.06364,32339678,1.587946613,111531.9724,,
Sept,9,9/24/2021,Texas,3994501,63253,13776.09806,32232435,1.583501919,111162.1164,,
Sept,9,9/23/2021,Texas,3983098,62801,13736.77178,32162347,1.576687292,110920.3993,,
Sept,9,9/22/2021,Texas,3967426,62402,13682.72273,32061788,1.572858574,110573.5949,,
Sept,9,9/21/2021,Texas,3949052,62071,13619.35511,31955259,1.571794952,110206.2014,,
Sept,9,9/20/2021,Texas,3934628,61960,13569.61011,31870433,1.574735909,109913.6564,,
Sept,9,9/19/2021,Texas,3933083,61861,13564.28177,31737322,1.57283739,109454.5877,,
Sept,9,9/18/2021,Texas,3925136,61558,13536.87443,31629576,1.568302347,109082.997,,
Sept,9,9/17/2021,Texas,3908248,61205,13478.63167,31534744,1.566046986,108755.9436,,
Sept,9,9/16/2021,Texas,3890444,60830,13417.22985,31447243,1.563574749,108454.1732,,
Sept,9,9/15/2021,Texas,3870934,60423,13349.94443,31309549,1.560941106,107979.2989,,
Sept,9,9/14/2021,Texas,3843407,60330,13255.01025,31185374,1.569701049,107551.0484,,
Sept,9,9/13/2021,Texas,3823937,60202,13187.86279,31011430,1.574346021,106951.1563,,
Sept,9,9/12/2021,Texas,3821518,60061,13179.52022,30855520,1.57165294,106413.4592,,
Sept,9,9/11/2021,Texas,3812711,59742,13149.14694,30791225,1.566916559,106191.7208,,
Sept,9,9/10/2021,Texas,3793204,59338,13081.87187,30702419,1.564323986,105885.4497,,
Sept,9,9/9/2021,Texas,3768545,58927,12996.82876,30602609,1.563653877,105541.2284,,
Sept,9,9/8/2021,Texas,3727663,58638,12855.83632,30464597,1.573049924,105065.2574,,
Sept,9,9/7/2021,Texas,3708013,58467,12788.06807,30293715,1.576774407,104475.9254,,
Sept,9,9/6/2021,Texas,3703715,58420,12773.24528,30179893,1.577335189,104083.38,,
Sept,9,9/5/2021,Texas,3701024,58272,12763.96465,30104624,1.57448317,103823.7948,,
Sept,9,9/4/2021,Texas,3686502,57995,12713.88167,29953570,1.573171532,103302.845,,
Sept,9,9/3/2021,Texas,3661241,57704,12626.7624,29840656,1.57607762,102913.431,,
Sept,9,9/2/2021,Texas,3639659,57381,12552.33114,29670617,1.576548792,102327.0064,,
Sept,9,9/1/2021,Texas,3612246,57044,12457.79013,29474737,1.579183699,101651.4622,,
Aug,8,8/31/2021,Texas,3592504,56808,12389.70459,29395866,1.581292603,101379.4546,,
Aug,8,8/30/2021,Texas,3570135,56685,12312.55915,29395866,1.587755085,101379.4546,,
Aug,8,8/29/2021,Texas,3566549,56577,12300.19188,29253031,1.586323362,100886.8501,,
Aug,8,8/28/2021,Texas,3557337,56345,12268.42185,29161694,1.583909537,100571.8502,,
Aug,8,8/27/2021,Texas,3534862,56055,12190.91084,29032812,1.585776192,100127.3664,,
Aug,8,8/26/2021,Texas,3520818,55798,12142.47637,28958028,1.584802168,99869.45387,,
Aug,8,8/25/2021,Texas,3499482,55549,12068.89351,28836919,1.587349213,99451.77731,,
Aug,8,8/24/2021,Texas,3476394,55346,11989.26841,28730064,1.592051994,99083.25945,,
Aug,8,8/23/2021,Texas,3462334,55283,11940.77876,28660733,1.596697488,98844.15307,,
Aug,8,8/22/2021,Texas,3459060,55226,11929.4875,28606427,1.596560915,98656.8644,,
Aug,8,8/21/2021,Texas,3442026,55055,11870.74123,28511737,1.599494019,98330.30078,,
Aug,8,8/20/2021,Texas,3419098,54863,11791.66793,28445708,1.604604489,98102.58223,,
Aug,8,8/19/2021,Texas,3402025,54655,11732.78715,28378457,1.606543162,97870.64928,,
Aug,8,8/18/2021,Texas,3384466,54478,11672.23027,28287529,1.609648317,97557.05991,,
Aug,8,8/17/2021,Texas,3356260,54379,11574.95439,28163500,1.620226085,97129.31295,,
Aug,8,8/16/2021,Texas,3339500,54330,11517.15307,28080980,1.626890253,96844.72081,,
Aug,8,8/15/2021,Texas,3334027,54289,11498.27798,28011889,1.628331144,96606.44214,,
Aug,8,8/14/2021,Texas,3323844,54202,11463.1592,27904680,1.630702283,96236.70341,,
Aug,8,8/13/2021,Texas,3306267,54057,11402.54024,27819464,1.634985922,95942.81339,,
Aug,8,8/12/2021,Texas,3293869,53939,11359.78245,27774380,1.637557535,95787.32924,,
Aug,8,8/11/2021,Texas,3272462,53831,11285.95472,27702752,1.644969445,95540.30105,230011,1066
Aug,8,8/10/2021,Texas,3250897,53727,11211.58209,27621532,1.652682321,95260.1923,220695,1059
Aug,8,8/9/2021,Texas,3238016,53688,11167.15854,27536300,1.658052338,94966.2471,,
Aug,8,8/8/2021,Texas,3235644,53661,11158.97806,27455455,1.658433375,94687.43164,,
Aug,8,8/7/2021,Texas,3224572,53607,11120.79333,27376834,1.662453188,94416.28623,,
Aug,8,8/6/2021,Texas,3201476,53538,11041.14064,27318382,1.672291156,94214.69898,,
Aug,8,8/5/2021,Texas,3185937,53457,10987.55027,27243719,1.677905119,93957.20378,,
Aug,8,8/4/2021,Texas,3172919,53395,10942.65423,27142774,1.682835269,93609.06813,,
Aug,8,8/3/2021,Texas,3151893,53329,10870.14049,27091804,1.691967335,93433.28454,,
Aug,8,8/2/2021,Texas,3142184,53296,10836.65642,27039271,1.696145102,93252.11053,,
Aug,8,8/1/2021,Texas,3138837,53277,10825.1134,26913658,1.697348413,92818.90073,,
July,7,7/31/2021,Texas,3133639,53248,10807.18672,26857766,1.699238489,92626.14231,,
July,7,7/30/2021,Texas,3119924,53186,10759.8869,26768624,1.704721012,92318.71244,,
July,7,7/29/2021,Texas,3105208,53149,10709.13486,26689101,1.711608369,92044.45625,,
July,7,7/28/2021,Texas,3095920,53078,10677.10272,26575989,1.714449986,91654.35946,,
July,7,7/27/2021,Texas,3083368,53037,10633.81382,26551356,1.720099579,91569.40601,,
July,7,7/26/2021,Texas,3077513,53018,10613.62129,26514674,1.722754705,91442.89839,,
July,7,7/25/2021,Texas,3076115,53006,10608.79992,26429046,1.723147542,91147.58748,,
July,7,7/24/2021,Texas,3070903,52982,10590.82495,26393560,1.725290574,91025.20458,,
July,7,7/23/2021,Texas,3064743,52935,10569.58056,26317753,1.727224762,90763.764,,
July,7,7/22/2021,Texas,3057874,52904,10545.89098,26285059,1.730090906,90651.01005,,
July,7,7/21/2021,Texas,3049688,52865,10517.65939,26232953,1.733456013,90471.30867,,
July,7,7/20/2021,Texas,3044072,52839,10498.29112,26214686,1.735799942,90408.31006,,
July,7,7/19/2021,Texas,3041410,52827,10489.11051,26162412,1.73692465,90228.02928,,
July,7,7/18/2021,Texas,3039664,52816,10483.08896,26116510,1.737560467,90069.72404,,
July,7,7/17/2021,Texas,3037130,52792,10474.34979,26070027,1.738219964,89909.41506,,
July,7,7/16/2021,Texas,3032699,52763,10459.06831,26040800,1.73980339,89808.61799,,
July,7,7/15/2021,Texas,3029676,52727,10448.64269,26000667,1.740351113,89670.20868,,
July,7,7/14/2021,Texas,3024610,52690,10431.17124,25985063,1.742042776,89616.39414,,
July,7,7/13/2021,Texas,3020886,52661,10418.32804,25929589,1.743230297,89425.07731,,
July,7,7/12/2021,Texas,3017321,52629,10406.03319,25909865,1.744229401,89357.05385,,
July,7,7/11/2021,Texas,3016891,52624,10404.55022,25886576,1.744312274,89276.73555,,
July,7,7/10/2021,Texas,3015520,52606,10399.82196,25840202,1.74450841,89116.80249,,
July,7,7/9/2021,Texas,3013216,52567,10391.876,25815966,1.744548018,89033.2182,,
July,7,7/8/2021,Texas,3010929,52531,10383.98868,25781426,1.744677473,88914.09783,,
July,7,7/7/2021,Texas,3006541,52506,10368.85549,25765609,1.746392283,88859.54871,,
July,7,7/6/2021,Texas,3005221,52482,10364.30312,25704117,1.74636075,88647.47721,,
July,7,7/5/2021,Texas,3004684,52482,10362.45114,25680483,1.746672861,88565.96908,,
July,7,7/4/2021,Texas,3004465,52473,10361.69586,25658825,1.746500625,88491.27571,,
July,7,7/3/2021,Texas,3003278,52453,10357.60217,25612625,1.746524964,88331.94273,,
July,7,7/2/2021,Texas,3001682,52410,10352.09794,25582088,1.746021064,88226.62778,,
July,7,7/1/2021,Texas,3000069,52337,10346.53508,25537739,1.744526543,88073.67846,,
Jun,6,6/30/2021,Texas,2997318,52308,10337.04753,25520990,1.745160173,88015.91509,,
Jun,6,6/29/2021,Texas,2995223,52279,10329.82236,25462028,1.745412612,87812.56896,,
Jun,6,6/28/2021,Texas,2994389,52273,10326.94609,25445833,1.745698371,87756.7162,,
Jun,6,6/27/2021,Texas,2994213,52265,10326.33911,25417494,1.745533801,87658.98163,,
Jun,6,6/26/2021,Texas,2992812,52246,10321.50739,25375953,1.745716069,87515.71646,,
Jun,6,6/25/2021,Texas,2991189,52217,10315.91004,25349411,1.745693769,87424.17932,,
Jun,6,6/24/2021,Texas,2989604,52183,10310.44375,25331974,1.74548201,87364.04319,,
Jun,6,6/23/2021,Texas,2988388,52150,10306.25005,25287406,1.745087987,87210.3386,,
Jun,6,6/22/2021,Texas,2986414,52118,10299.44219,25276314,1.74516996,87172.08489,,
Jun,6,6/21/2021,Texas,2985659,52110,10296.83837,25233228,1.745343323,87023.49137,,
Jun,6,6/20/2021,Texas,2985388,52098,10295.90375,25210479,1.745099799,86945.0354,,
Jun,6,6/19/2021,Texas,2983636,52083,10289.86152,25154612,1.745621785,86752.36321,,
Jun,6,6/18/2021,Texas,2982619,52040,10286.35412,25114553,1.744775313,86614.2091,,
Jun,6,6/17/2021,Texas,2981826,52007,10283.61925,25076403,1.744132622,86482.63869,,
Jun,6,6/16/2021,Texas,2979689,51967,10276.24924,25038963,1.744041073,86353.5169,,
Jun,6,6/15/2021,Texas,2978351,51940,10271.63479,24985397,1.743918027,86168.78032,,
Jun,6,6/14/2021,Texas,2977373,51929,10268.2619,24957202,1.744121412,86071.54237,,
Jun,6,6/13/2021,Texas,2976974,51912,10266.88584,24931993,1.743784124,85984.60243,,
Jun,6,6/12/2021,Texas,2976183,51889,10264.15786,24890997,1.74347478,85843.21683,,
Jun,6,6/11/2021,Texas,2974886,51846,10266.63063,24863279,1.7416104,85747.62395,,
Jun,6,6/10/2021,Texas,2972976,51814,10267.8308,24782418,1.740332011,85468.7533,,
Jun,6,6/9/2021,Texas,2966038,51777,10229.17014,24769604,1.745662058,85424.56082,,
Jun,6,6/8/2021,Texas,2964109,51736,10222.51747,24762201,1.745414895,85399.02961,,
Jun,6,6/7/2021,Texas,2962934,51719,10218.46517,24719286,1.745533313,85251.02583,,
Jun,6,6/6/2021,Texas,2962395,51701,10216.60628,24664314,1.745243291,85061.44028,,
Jun,6,6/5/2021,Texas,2961257,51676,10212.68159,24627515,1.745069746,84934.52915,,
Jun,6,6/4/2021,Texas,2959171,51633,10205.48746,24603112,1.744846783,84850.36892,,
Jun,6,6/3/2021,Texas,2956576,51575,10196.53792,24568766,1.744416514,84731.91761,,
Jun,6,6/2/2021,Texas,2954084,51525,10187.94359,24529902,1.744195493,84597.88478,,
Jun,6,6/1/2021,Texas,2953409,51508,10185.61567,24474930,1.744018522,84408.29923,,
May,5,5/31/2021,Texas,2953235,51505,10185.01559,24445160,1.744019694,84305.62948,,
May,5,5/30/2021,Texas,2952861,51491,10183.72575,24403682,1.743766469,84162.58157,,
May,5,5/29/2021,Texas,2952311,51456,10181.82893,24373997,1.742905812,84060.20496,,
May,5,5/28/2021,Texas,2950587,51401,10175.88326,24322870,1.742060139,83883.87992,,
May,5,5/27/2021,Texas,2948986,51350,10170.36178,24289868,1.741276493,83770.06375,,
May,5,5/26/2021,Texas,2946793,51288,10162.79864,24259089,1.740468367,83663.9142,,
May,5,5/25/2021,Texas,2944265,51249,10154.08016,24219515,1.740638156,83527.43274,,
May,5,5/24/2021,Texas,2941389,51225,10144.16151,24159418,1.741524157,83320.17227,,
May,5,5/23/2021,Texas,2940679,51209,10141.71289,24064244,1.74140054,82991.93944,,
May,5,5/22/2021,Texas,2939697,51170,10138.3262,24051960,1.740655585,82949.5748,,
May,5,5/21/2021,Texas,2938261,51128,10133.37377,24023180,1.740076869,82850.31933,,
May,5,5/20/2021,Texas,2936614,51081,10127.69365,23973724,1.739452308,82679.75717,,
May,5,5/19/2021,Texas,2934592,51012,10120.72025,23932230,1.738299566,82536.65409,,
May,5,5/18/2021,Texas,2931500,50972,10110.05667,23895075,1.738768549,82408.5152,,
May,5,5/17/2021,Texas,2929050,50941,10101.60719,23805714,1.739164576,82100.33004,,
May,5,5/16/2021,Texas,2928389,50940,10099.32756,23760072,1.739522994,81942.92148,,
May,5,5/15/2021,Texas,2927195,50903,10095.20973,23743076,1.738968535,81884.30626,,
May,5,5/14/2021,Texas,2924766,50840,10086.83268,23700181,1.738258719,81736.37145,,
May,5,5/13/2021,Texas,2922680,50785,10079.63855,23638436,1.737617529,81523.42741,,
May,5,5/12/2021,Texas,2920043,50719,10070.54416,23592660,1.736926477,81365.55671,,
May,5,5/11/2021,Texas,2917219,50665,10060.80484,23565813,1.736756822,81272.9677,,
May,5,5/10/2021,Texas,2914504,50643,10051.44144,23522592,1.737619849,81123.9086,,
May,5,5/9/2021,Texas,2913480,50626,10047.90991,23452434,1.737647075,80881.95009,,
May,5,5/8/2021,Texas,2911927,50583,10042.55398,23382638,1.737097118,80641.24004,,
May,5,5/7/2021,Texas,2909076,50527,10032.72154,23346664,1.736874526,80517.17415,,
May,5,5/6/2021,Texas,2906362,50471,10023.36159,23289712,1.736569636,80320.76004,,
May,5,5/5/2021,Texas,2903934,50411,10014.98799,23274930,1.735955431,80269.78039,,
May,5,5/4/2021,Texas,2901549,50331,10006.76268,23243811,1.734625195,80162.45825,,
May,5,5/3/2021,Texas,2897110,50290,9991.453614,23159846,1.735867813,79872.88263,,
May,5,5/2/2021,Texas,2895810,50274,9986.970218,23081347,1.736094564,79602.15798,,
May,5,5/1/2021,Texas,2893928,50219,9980.479641,23001820,1.735323063,79327.88799,,
April,4,4/30/2021,Texas,2890257,50164,9967.819222,22936532,1.735624202,79102.72497,,
April,4,4/29/2021,Texas,2886638,50098,9955.338139,22855470,1.735513771,78823.16112,,
April,4,4/28/2021,Texas,2882423,50027,9940.801592,22776539,1.735588427,78550.9466,,
April,4,4/27/2021,Texas,2878438,49967,9927.05826,22742379,1.735906766,78433.13676,,
April,4,4/26/2021,Texas,2873995,49936,9911.735394,22665999,1.737511721,78169.72004,,
April,4,4/25/2021,Texas,2872756,49921,9907.462374,22610330,1.737738952,77977.7307,,
April,4,4/24/2021,Texas,2870407,49877,9899.361223,22537948,1.737628148,77728.10214,,
April,4,4/23/2021,Texas,2867748,49818,9890.190955,22537890,1.737181928,77727.90211,,
April,4,4/22/2021,Texas,2864319,49748,9878.365137,22494107,1.736817722,77576.9048,,
April,4,4/21/2021,Texas,2859892,49672,9863.097452,22419986,1.736848804,77321.27884,,
April,4,4/20/2021,Texas,2855052,49618,9846.405426,22305322,1.737901797,76925.82957,,
April,4,4/19/2021,Texas,2850575,49595,9830.965302,22279399,1.739824421,76836.42722,,
April,4,4/18/2021,Texas,2849072,49562,9825.781807,22172916,1.739583977,76469.1923,,
April,4,4/17/2021,Texas,2847101,49510,9818.98429,22139311,1.738961842,76353.29653,,
April,4,4/16/2021,Texas,2843929,49441,9808.044805,22134217,1.738475187,76335.72851,,
April,4,4/15/2021,Texas,2840869,49359,9797.491582,22118906,1.737461319,76282.92446,,
April,4,4/14/2021,Texas,2837160,49289,9784.70011,22072551,1.737265434,76123.05693,,
April,4,4/13/2021,Texas,2831972,49231,9766.807913,22037982,1.738399956,76003.83654,,
April,4,4/12/2021,Texas,2826977,49212,9749.581328,21970307,1.740799448,75770.44133,,
April,4,4/11/2021,Texas,2825551,49188,9744.663389,21899149,1.740828603,75525.03406,,
April,4,4/10/2021,Texas,2822889,49121,9735.482774,21840056,1.740096759,75321.23614,,
April,4,4/9/2021,Texas,2819600,49017,9724.139784,21772385,1.738438076,75087.85472,,
April,4,4/8/2021,Texas,2815110,48918,9708.654826,21736673,1.737694087,74964.6924,,
April,4,4/7/2021,Texas,2811270,48815,9695.411566,21682763,1.736403832,74778.76944,,
April,4,4/6/2021,Texas,2806908,48729,9680.36805,21634606,1.736038374,74612.68723,,
April,4,4/5/2021,Texas,2802225,48697,9664.21748,21534832,1.737797643,74268.59008,,
April,4,4/4/2021,Texas,2801218,48676,9660.744573,21408181,1.737672684,73831.80045,,
April,4,4/3/2021,Texas,2799375,48599,9654.388497,21369421,1.736066086,73698.1263,,
April,4,4/2/2021,Texas,2797010,48495,9646.232167,21242085,1.733815753,73258.97427,,
April,4,4/1/2021,Texas,2791910,48252,9628.643461,21242085,1.728279207,73258.97427,,
March,3,3/31/2021,Texas,2789428,48242,9620.083625,21199010,1.729458513,73110.41868,,
March,3,3/30/2021,Texas,2786219,48134,9609.016536,21159863,1.727574178,72975.40985,,
March,3,3/29/2021,Texas,2782735,48093,9597.001036,21114389,1.728263741,72818.58068,,
March,3,3/28/2021,Texas,2779464,48039,9585.720123,21021275,1.728354819,72497.45231,,
March,3,3/27/2021,Texas,2776370,47947,9575.049642,20971296,1.726967227,72325.08645,,
March,3,3/26/2021,Texas,2769451,47822,9551.187632,20903330,1.72676823,72090.68764,,
March,3,3/25/2021,Texas,2766259,47689,9540.179172,20833344,1.723952819,71849.32232,,
March,3,3/24/2021,Texas,2762270,47527,9526.422046,20793857,1.720577641,71713.14091,,
March,3,3/23/2021,Texas,2757552,47446,9510.150769,20739846,1.720584054,71526.86963,,
March,3,3/22/2021,Texas,2754616,47346,9500.025193,20683375,1.718787664,71332.11438,,
March,3,3/21/2021,Texas,2752279,47298,9491.965428,20619793,1.718503102,71112.83496,,
March,3,3/20/2021,Texas,2749624,47198,9482.808955,20526908,1.716525605,70792.49635,,
March,3,3/19/2021,Texas,2745694,47025,9469.255306,20486161,1.712681748,70651.9695,,
March,3,3/18/2021,Texas,2742274,46827,9457.460527,20456710,1.707597417,70550.3999,,
March,3,3/17/2021,Texas,2737763,46651,9441.903145,20406104,1.703982412,70375.87166,,
March,3,3/16/2021,Texas,2731814,46519,9421.386438,20346386,1.702861176,70169.91827,,
March,3,3/15/2021,Texas,2727462,46423,9406.377409,20287111,1.702058544,69965.49268,,
March,3,3/14/2021,Texas,2724607,46366,9396.531183,20215388,1.701750014,69718.13686,,
March,3,3/13/2021,Texas,2721511,46229,9385.853805,20169205,1.698651962,69558.86252,,
March,3,3/12/2021,Texas,2715993,46007,9366.823515,20105901,1.693929255,69340.54185,,
March,3,3/11/2021,Texas,2710278,45796,9347.113819,20021752,1.689715963,69050.33167,,
March,3,3/10/2021,Texas,2704712,45582,9327.917989,19966634,1.685281095,68860.2426,,
March,3,3/9/2021,Texas,2699083,45411,9308.504887,19907384,1.682460302,68655.90323,,
March,3,3/8/2021,Texas,2695558,45315,9296.347988,19907384,1.681099053,68655.90323,,
March,3,3/7/2021,Texas,2692691,45249,9286.460377,19820052,1.680437897,68354.71562,,
March,3,3/6/2021,Texas,2688975,45047,9273.644764,19820052,1.675248003,68354.71562,,
March,3,3/5/2021,Texas,2683386,44757,9254.369612,19764177,1.667929996,68162.01584,,
March,3,3/4/2021,Texas,2675712,44463,9227.903784,19707655,1.661725926,67967.0847,,
March,3,3/3/2021,Texas,2668091,44186,9201.620741,19643058,1.656090441,67744.30479,,
March,3,3/2/2021,Texas,2660791,43909,9176.444751,19595211,1.650223561,67579.29169,,
March,3,3/1/2021,Texas,2653013,43697,9149.620251,19557682,1.647070708,67449.86297,,
Feb,2,2/28/2021,Texas,2649363,43519,9137.032256,19488683,1.642621264,67211.90158,,
Feb,2,2/27/2021,Texas,2643463,43376,9116.684539,19426513,1.640877894,66997.49182,,
Feb,2,2/26/2021,Texas,2632666,43085,9079.448215,19357913,1.636553972,66760.90649,,
Feb,2,2/25/2021,Texas,2624852,42831,9052.49956,19303921,1.631749142,66574.70073,,
Feb,2,2/24/2021,Texas,2617096,42521,9025.750933,19242281,1.624739788,66362.11881,,
Feb,2,2/23/2021,Texas,2606513,42301,8989.252646,19199117,1.622896184,66213.25629,,
Feb,2,2/22/2021,Texas,2600660,42162,8969.06702,19165851,1.621203848,66098.52965,,
Feb,2,2/21/2021,Texas,2593816,42041,8945.463668,19127832,1.620816588,65967.41103,,
Feb,2,2/20/2021,Texas,2587712,41832,8924.412402,19212601,1.616563203,66259.75945,,
Feb,2,2/19/2021,Texas,2582111,41630,8892.283701,18810731,1.614569678,64873.80397,,
Feb,2,2/18/2021,Texas,2579802,41496,8884.358437,18810731,1.610808284,64873.80397,,
Feb,2,2/17/2021,Texas,2574648,41386,8866.631781,18810731,1.60975014,64873.80397,,
Feb,2,2/16/2021,Texas,2571723,41336,8856.582078,18810731,1.609629742,64873.80397,,
Feb,2,2/15/2021,Texas,2568930,41273,8846.973817,18810731,1.608921988,64873.80397,,
Feb,2,2/14/2021,Texas,2564055,41149,8830.195572,18700767,1.607136092,64494.5639,,
Feb,2,2/13/2021,Texas,2554842,40901,8811.051473,18605754,1.600920918,64166.88632,,
Feb,2,2/12/2021,Texas,2543236,40535,8771.025098,18506265,1.59383557,63823.77207,,
Feb,2,2/11/2021,Texas,2531060,40148,8729.032927,18414867,1.586212891,63508.56179,,
Feb,2,2/10/2021,Texas,2518333,39799,8685.140486,18301672,1.580370825,63118.17875,,
Feb,2,2/9/2021,Texas,2504578,39482,8637.702714,18220770,1.576393309,62839.16671,,
Feb,2,2/8/2021,Texas,2494861,39322,8604.191057,18072290,1.576119872,62327.09398,,
Feb,2,2/7/2021,Texas,2486505,39182,8575.373171,18034823,1.575786093,62197.87907,,
Feb,2,2/6/2021,Texas,2478003,38893,8546.051765,17922915,1.56952998,61811.9346,,
Feb,2,2/5/2021,Texas,2463424,38453,8495.77221,17846886,1.560957432,61549.72839,,
Feb,2,2/4/2021,Texas,2449535,38039,8447.872303,17694874,1.55290698,61025.47462,,
Feb,2,2/3/2021,Texas,2431687,37619,8386.318733,17605821,1.547032986,60718.35169,,
Feb,2,2/2/2021,Texas,2412627,37245,8320.585258,17504358,1.54375293,60368.42957,,
Feb,2,2/1/2021,Texas,2376344,37074,8195.453692,17399120,1.560127658,60005.48837,,
Jan,1,1/31/2021,Texas,2363266,36924,8150.350734,17263046,1.562414049,59536.20102,,
Jan,1,1/30/2021,Texas,2348188,36650,8098.350245,17073934,1.560777927,58883.99804,,
Jan,1,1/29/2021,Texas,2330272,36292,8036.562159,16949139,1.557414757,58453.60932,,
Jan,1,1/28/2021,Texas,2309220,35877,7963.958743,16837794,1.553641489,58069.60651,,
Jan,1,1/27/2021,Texas,2290621,35420,7899.81515,16738158,1.546305565,57725.98529,,
Jan,1,1/26/2021,Texas,2269424,35090,7826.711663,16629666,1.54620732,57351.8218,,
Jan,1,1/25/2021,Texas,2250421,34911,7761.174768,16561140,1.551309733,57115.49168,,
Jan,1,1/24/2021,Texas,2242473,34725,7733.763978,16405627,1.548513628,56579.16378,,
Jan,1,1/23/2021,Texas,2227789,34381,7683.122303,16321080,1.543279009,56287.58098,,
Jan,1,1/22/2021,Texas,2208871,33942,7617.878553,16202370,1.536622102,55878.17801,,
Jan,1,1/21/2021,Texas,2185554,33491,7537.463683,16076028,1.532380348,55442.45405,,
Jan,1,1/20/2021,Texas,2157459,33032,7440.570611,15935036,1.531060382,54956.20568,,
